City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,30-11-2020,65.96,72.13,2.38,16.28,6.002202295439116,8.36,520.71,47.68,130.18,,,,122.19117647058825,Moderate
Ahmedabad,1/12/2020,120.95,154.53,7.71,54.84,20.11992248551537,27.36,1682.28,21.7,0.73,,,,200.3653846153846,Poor
Ahmedabad,2/12/2020,133.47,172.63,16.54,49.35,21.19427166379868,28.12,1815.8,23.84,0.17,,,,205.18076923076924,Poor
Ahmedabad,3/12/2020,150.37,202.15,41.57,40.1,26.27008903904141,36.48,2296.45,35.76,0.0,,,,211.68076923076924,Poor
Ahmedabad,4/12/2020,160.79,205.8,23.92,58.95,26.656082755789907,40.53,2189.64,28.13,0.02,,,,215.68846153846152,Poor
Ahmedabad,5/12/2020,249.51,322.46,57.22,137.09,62.502032584500256,178.34,3845.22,110.63,0.0,,,,249.81153846153848,Poor
Ahmedabad,6/12/2020,232.03,281.96,27.94,98.71,40.73842018849754,96.26,2883.91,84.88,0.02,,,,243.08846153846156,Poor
Ahmedabad,7/12/2020,106.27,143.12,19.89,40.1,19.296469223118574,31.67,1628.88,21.22,0.02,,,,177.11666666666667,Moderate
Ahmedabad,8/12/2020,122.37,163.42,9.28,59.63,22.165689184282396,43.06,1735.69,25.99,0.59,,,,200.91153846153847,Poor
Ahmedabad,9/12/2020,213.63,276.18,34.87,69.92,33.70690131506244,58.77,2857.21,46.25,0.0,,,,236.01153846153846,Poor
Ahmedabad,10/12/2020,145.72,184.11,6.48,67.17,23.69036436543896,38.0,1762.39,28.61,1.54,,,,209.8923076923077,Poor
Ahmedabad,11/12/2020,84.27,89.55,0.0,16.79,5.40069542017271,3.17,540.73,21.46,91.55,,,,140.45,Moderate
Ahmedabad,12/12/2020,129.55,154.0,11.96,40.44,16.855058964684336,9.63,1695.63,19.31,0.2,,,,203.67307692307693,Poor
Ahmedabad,13-12-2020,294.44,372.0,84.04,54.15,44.450393097895585,61.81,3845.22,53.88,0.0,,,,258.888,Poor
Ahmedabad,14-12-2020,103.12,121.52,2.68,61.01,20.486616516426437,19.25,1388.55,16.69,8.76,,,,171.86666666666667,Moderate
Ahmedabad,15-12-2020,154.42,203.12,39.79,46.61,27.791547605891733,24.07,2323.15,22.89,0.0,,,,213.23846153846154,Poor
Ahmedabad,16-12-2020,82.19,92.38,0.0,28.79,9.260632587657673,14.31,807.76,18.84,53.64,,,,136.98333333333335,Moderate
Ahmedabad,17-12-2020,75.38,85.11,0.0,14.74,4.741289487394029,12.16,640.87,14.19,72.96,,,,125.63333333333333,Moderate
Ahmedabad,18-12-2020,86.72,99.66,0.0,17.82,5.73200669371517,14.31,727.65,14.42,66.52,,,,144.53333333333333,Moderate
Ahmedabad,19-12-2020,79.28,89.38,0.0,14.74,4.741289487394029,12.41,654.22,13.47,76.53,,,,132.13333333333333,Moderate
Ahmedabad,20-12-2020,39.45,47.61,0.0,14.05,4.519343100263644,12.29,520.71,10.49,59.37,,,,65.75,Satisfactory
Ahmedabad,21-12-2020,55.16,65.83,0.0,17.31,5.567959364097058,13.81,620.84,10.73,42.56,,,,91.93333333333334,Satisfactory
Ahmedabad,22-12-2020,77.91,96.79,0.41,30.5,9.942554820580016,18.75,961.3,15.14,13.95,,,,129.85,Moderate
Ahmedabad,23-12-2020,117.6,148.87,16.54,35.64,16.78429344994711,23.81,1522.06,17.41,0.12,,,,196.0,Moderate
Ahmedabad,24-12-2020,167.85,223.14,46.49,45.93,29.727949418246688,37.49,2510.07,23.84,0.0,,,,218.40384615384616,Poor
Ahmedabad,25-12-2020,108.53,133.88,3.13,38.73,13.464747485910046,20.01,1148.22,14.42,4.78,,,,180.88333333333333,Moderate
Ahmedabad,26-12-2020,94.91,111.12,0.03,24.68,7.948253950712785,16.21,854.49,14.42,26.46,,,,158.18333333333334,Moderate
Ahmedabad,27-12-2020,239.23,296.21,43.36,127.49,54.955855422067145,143.89,3070.83,82.02,0.0,,,,245.8576923076923,Poor
Ahmedabad,28-12-2020,68.91,139.67,0.0,21.76,6.999352730372733,11.78,574.11,19.31,71.53,,,,114.85,Moderate
Ahmedabad,29-12-2020,62.63,101.28,3.13,38.39,13.355382599497972,21.53,1041.41,16.93,4.07,,,,104.38333333333334,Moderate
Ahmedabad,30-12-2020,49.41,58.4,0.0,13.88,4.464660657057607,11.53,607.49,17.88,97.28,,,,97.28,Satisfactory
Ahmedabad,31-12-2020,56.5,66.35,0.0,11.31,3.6379907803545772,10.01,527.38,17.64,105.86,,,,104.30882352941177,Moderate
Ahmedabad,1/1/2021,106.42,121.51,0.0,18.85,6.063317967257629,14.95,774.38,14.42,57.94,,,,177.36666666666667,Moderate
Ahmedabad,2/1/2021,115.08,125.53,0.0,20.05,6.449311684006125,13.93,767.71,16.21,70.81,,,,191.8,Moderate
Ahmedabad,3/1/2021,94.08,106.82,0.0,16.79,5.40069542017271,12.03,667.57,15.74,85.12,,,,156.8,Moderate
Ahmedabad,4/1/2021,192.22,209.49,0.0,22.62,7.2759815607091545,14.57,1081.47,13.71,55.08,,,,227.77692307692308,Poor
Ahmedabad,5/1/2021,175.22,188.13,0.0,15.59,5.0147017034242145,11.27,907.9,14.9,89.41,,,,221.23846153846154,Poor
Ahmedabad,6/1/2021,137.8,149.89,0.0,21.08,6.780622957548584,12.54,921.25,14.9,69.38,,,,206.84615384615384,Poor
Ahmedabad,7/1/2021,79.58,97.67,0.64,39.76,12.995121797199374,17.23,1094.82,14.78,18.42,,,,132.63333333333333,Moderate
Ahmedabad,8/1/2021,106.43,130.2,1.43,45.24,15.011938967210268,9.37,1388.55,15.74,6.53,,,,177.38333333333335,Moderate
Ahmedabad,9/1/2021,78.96,86.3,0.0,20.22,6.503994127212161,11.78,781.06,16.21,77.25,,,,131.6,Moderate
